b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN)
80.90,80.90,1.60,240.00,279.90,32.90,347.00
110.00,110.00,1.54,330.00,279.90,32.90,510.00
109.80,109.80,1.53,330.00,279.90,32.90,522.00
149.30,149.30,3.63,450.00,279.90,41.80,1771.00
149.30,149.30,3.63,450.00,279.90,41.80,1785.00
120.00,120.00,5.80,360.00,300.00,74.70,1697.00
120.00,120.00,5.80,360.00,300.00,92.00,1919.00
200.00,200.00,5.80,600.00,300.00,74.70,3996.00
200.00,200.00,5.80,600.00,300.00,74.70,3862.00
100.00,130.00,5.80,390.00,300.00,74.70,1601.00
100.00,130.00,5.80,390.00,300.00,74.70,1566.00
100.00,130.00,5.80,390.00,300.00,92.00,1854.00
100.00,130.00,5.80,390.00,300.00,92.00,1779.00
170.00,220.00,5.80,660.00,300.00,74.70,3684.00
170.00,220.00,5.80,660.00,300.00,74.70,3717.00
120.00,120.00,4.00,360.00,495.00,56.00,1739.00
120.00,120.00,4.00,360.00,495.00,56.00,1718.00
130.00,130.00,4.00,390.00,495.00,56.00,1963.00
130.00,130.00,4.00,390.00,495.00,56.00,1988.00
98.20,100.30,4.18,300.00,550.00,56.60,1490.00
100.60,101.50,4.18,300.00,550.00,56.60,1535.00
101.10,101.20,4.18,300.00,550.00,65.70,1740.00
100.40,100.70,4.18,300.00,550.00,65.70,1775.00
181.20,182.80,4.18,540.00,550.00,56.60,3590.00
180.40,181.80,4.18,540.00,550.00,65.70,4210.00
120.00,120.00,4.00,360.00,495.00,58.40,1701.00
120.00,120.00,4.00,360.00,495.00,58.40,1657.00
130.00,130.00,4.00,390.00,495.00,58.40,2020.00
130.00,130.00,4.00,390.00,495.00,58.40,2018.00
108.00,108.00,4.00,320.00,495.00,77.60,1749.00
108.00,108.00,4.00,320.00,495.00,77.60,1824.00
140.00,140.00,4.00,420.00,495.00,77.60,2752.00
140.00,140.00,4.00,420.00,495.00,77.60,2828.00
125.00,160.00,4.00,480.00,495.00,77.60,2580.00
125.00,160.00,4.00,480.00,495.00,77.60,2674.00
101.30,101.30,4.97,300.00,347.30,49.40,1310.00
103.60,103.60,4.90,300.00,347.30,49.40,1340.00
102.00,102.00,4.97,300.00,347.30,49.40,1370.00
142.00,142.00,5.11,420.00,347.30,49.40,2160.00
142.00,142.00,5.08,420.00,347.30,49.40,2250.00
141.40,141.40,5.07,420.00,347.30,49.40,2280.00
142.10,142.10,3.02,420.00,255.10,44.90,1360.00
142.10,142.10,3.02,420.00,255.10,44.90,1400.00
142.10,142.10,2.01,420.00,305.10,44.90,1328.00
142.10,142.10,2.01,420.00,305.10,44.90,1364.00
140.90,140.90,2.02,420.00,305.10,44.90,1280.00
103.50,103.50,5.01,300.00,347.30,58.60,1500.00
102.10,102.10,4.97,300.00,347.30,58.60,1330.00
101.90,101.90,5.03,300.00,347.30,58.60,1440.00
142.30,142.30,5.09,420.00,347.30,58.60,2520.00
142.40,142.40,5.10,420.00,347.30,58.60,2610.00
143.20,143.20,2.03,420.00,305.10,58.60,1990.00
142.30,142.30,2.01,420.00,305.10,58.60,1855.00
140.50,140.50,2.00,420.00,305.10,58.60,1780.00
141.50,141.50,3.08,420.00,255.10,58.60,1920.00
142.40,142.40,3.05,420.00,255.10,58.60,2060.00
141.60,141.60,3.04,420.00,255.10,58.60,1960.00
149.10,149.10,5.06,420.00,347.30,58.60,1700.00
143.10,143.10,3.02,420.00,255.10,44.90,1150.00
101.60,130.30,5.03,390.00,347.30,49.40,1580.00
102.30,130.30,5.14,390.00,347.30,49.40,1600.00
102.30,130.30,5.14,390.00,347.30,49.40,1640.00
120.20,166.30,2.94,480.00,255.10,49.40,1580.00
126.20,161.00,2.98,480.00,255.10,49.40,1580.00
126.00,160.30,2.92,480.00,255.10,49.40,1560.00
136.10,167.40,5.13,480.00,347.30,49.40,2510.00
135.30,170.80,5.07,510.00,347.30,49.40,2470.00
102.70,125.70,5.15,390.00,347.30,58.60,1840.00
120.40,130.00,5.03,390.00,347.30,58.60,1820.00
102.70,132.30,4.98,390.00,347.30,58.60,1725.00
122.50,157.10,2.01,480.00,305.10,58.60,1800.00
119.00,161.90,2.00,480.00,305.10,58.60,1740.00
125.10,160.40,2.85,480.00,255.10,58.60,1855.00
125.60,160.00,2.88,480.00,255.10,58.60,2030.00
125.00,161.10,2.81,480.00,255.10,58.60,2040.00
137.10,167.90,5.10,480.00,347.30,58.60,2600.00
133.20,172.70,5.08,480.00,347.30,58.60,2700.00
122.70,160.20,2.03,480.00,305.10,49.40,1400.00
119.40,160.10,2.01,480.00,305.10,49.40,1420.00
124.30,161.50,2.00,480.00,305.10,49.40,1320.00
149.30,149.30,3.63,448.00,283.60,31.70,1771.00
149.30,149.30,3.63,448.00,283.60,31.70,1785.00
149.10,149.10,3.69,448.00,283.60,31.70,1409.00
149.00,149.00,3.59,448.00,283.60,31.70,1370.00
148.60,148.60,3.67,448.00,283.60,31.70,1433.00
149.40,149.40,3.64,448.00,283.60,31.70,1399.00
120.00,120.00,2.65,360.00,340.00,12.20,635.00
120.00,120.00,2.65,360.00,340.00,21.90,778.00
76.00,76.00,3.09,228.00,199.00,36.10,275.00
75.90,75.90,3.09,228.00,199.00,74.40,382.00
75.80,75.80,3.09,227.00,199.00,74.40,374.00
76.00,76.00,3.09,228.00,199.00,108.60,514.00
88.10,88.10,1.76,269.00,115.00,36.10,299.00
88.00,88.00,1.76,264.00,115.00,74.40,467.00
88.00,88.00,1.76,264.00,115.00,108.60,722.00
101.70,101.70,2.32,300.00,145.00,36.10,415.00
101.60,101.60,2.32,300.00,145.00,74.40,651.00
101.50,101.50,2.32,300.00,145.00,108.60,1009.00
153.00,153.00,3.31,456.00,148.00,36.10,915.00
152.30,152.30,3.31,456.00,148.00,74.40,1566.00
152.50,152.50,3.31,455.00,148.00,108.60,2124.00
100.00,44.10,1.57,300.00,145.00,36.10,182.00
100.00,44.10,1.57,300.00,145.00,74.40,296.00
99.90,44.00,1.57,300.00,145.00,108.60,342.00
99.60,44.70,2.90,300.00,228.00,36.10,237.00
99.70,44.10,2.90,300.00,228.00,74.40,271.00
99.80,44.20,2.90,300.00,228.00,108.60,344.00
114.30,114.30,9.63,406.00,258.00,32.60,2442.00
114.90,114.90,4.39,406.00,258.00,32.60,897.00
120.00,120.00,3.84,360.00,330.10,14.60,882.00
120.00,120.00,3.84,360.00,330.10,16.70,882.00
120.00,120.00,3.84,360.00,330.10,16.70,921.20
120.00,120.00,3.84,360.00,330.10,26.40,1080.00
120.00,120.00,3.84,360.00,330.10,28.20,1078.00
140.00,140.00,3.84,420.00,330.10,8.52,940.80
140.00,140.00,3.84,420.00,330.10,8.97,921.60
140.00,140.00,3.84,420.00,330.10,29.30,1499.40
140.00,140.00,3.84,420.00,330.10,29.30,1470.00
120.00,120.00,5.86,360.00,321.10,16.10,1176.00
120.00,120.00,5.86,360.00,321.10,16.10,1117.20
120.00,120.00,5.86,360.00,321.10,13.80,1195.60
120.00,120.00,5.86,360.00,321.10,28.20,1460.20
120.00,120.00,5.86,360.00,321.10,28.20,1372.00
140.00,140.00,5.86,420.00,321.10,8.70,1342.60
140.00,140.00,5.86,420.00,321.10,9.78,1292.60
140.00,140.00,5.86,420.00,321.10,29.30,2009.00
140.00,140.00,5.86,420.00,321.10,29.30,1906.10
200.00,200.00,5.86,600.00,321.10,9.41,2058.00
200.00,200.00,5.86,600.00,321.10,9.41,1960.00
100.00,100.00,2.00,400.00,284.60,32.40,588.00
100.00,100.00,2.00,400.00,284.60,32.40,656.60
100.00,100.00,2.00,400.00,284.60,32.40,745.00
100.00,100.00,2.00,400.00,284.60,32.40,705.60
100.00,100.00,2.00,400.00,284.60,32.40,666.40
100.00,100.00,2.00,400.00,284.60,32.40,696.00
100.00,100.00,2.00,400.00,284.60,32.40,725.00
100.00,100.00,2.00,400.00,284.60,32.40,745.00
100.00,100.00,3.00,400.00,288.20,32.40,852.00
100.00,100.00,3.00,400.00,288.20,32.40,892.00
100.00,100.00,3.00,400.00,288.20,32.40,882.00
100.00,100.00,3.00,400.00,288.20,32.40,931.00
100.00,100.00,3.00,400.00,288.20,32.40,882.00
100.00,100.00,3.00,400.00,288.20,32.40,891.00
100.00,100.00,3.00,400.00,288.20,32.40,833.00
100.00,100.00,3.00,400.00,288.20,32.40,872.00
100.00,100.00,5.00,400.00,403.40,32.40,1195.00
100.00,100.00,5.00,400.00,403.40,32.40,1068.00
100.00,100.00,5.00,400.00,403.40,32.40,1294.00
100.00,100.00,5.00,400.00,403.40,32.40,1274.00
100.00,100.00,5.00,400.00,403.40,32.40,1313.00
100.00,100.00,5.00,400.00,403.40,32.40,1294.00
100.00,100.00,5.00,400.00,403.40,32.40,1244.60
100.00,100.00,5.00,400.00,403.40,32.40,1323.00
100.00,100.00,5.00,400.00,403.40,32.40,1313.00
100.00,100.00,5.00,400.00,403.40,32.40,1274.00
100.00,100.00,5.00,400.00,403.40,32.40,1244.60
100.00,100.00,4.00,400.00,239.80,32.40,1019.00
100.00,100.00,4.00,400.00,239.80,32.40,980.00
100.00,100.00,4.00,400.00,239.80,32.40,882.00
100.00,100.00,4.00,400.00,239.80,32.40,901.60
100.00,100.00,4.00,400.00,239.80,32.40,980.00
100.00,100.00,4.00,400.00,239.80,32.40,1000.00
100.00,100.00,4.00,400.00,239.80,32.40,970.00
100.00,100.00,4.00,400.00,239.80,32.40,921.20
100.00,100.00,4.00,400.00,239.80,32.40,960.40
100.00,100.00,2.29,300.00,194.20,32.00,497.40
100.00,100.00,2.29,300.00,194.20,32.00,498.00
100.00,100.00,2.20,300.00,339.40,21.40,511.00
100.00,100.00,2.20,300.00,339.40,21.40,510.00
100.00,100.00,2.99,300.00,288.40,20.60,529.00
100.00,100.00,2.99,300.00,288.40,20.60,528.00
100.00,100.00,4.25,300.00,284.50,19.80,667.00
100.00,100.00,4.25,300.00,284.50,19.80,666.00
250.00,250.00,8.00,500.00,379.00,33.00,4870.00
250.00,250.00,8.00,500.00,379.00,91.00,8300.00
148.00,148.00,4.38,444.00,262.00,25.40,1153.00
148.00,148.00,4.38,444.00,262.00,40.50,1414.00
148.00,148.00,4.38,444.00,262.00,40.50,1402.00
148.00,148.00,4.38,444.00,262.00,77.00,2108.00
215.00,215.00,4.38,645.00,262.00,25.40,1777.00
215.00,215.00,4.38,645.00,262.00,41.10,2424.00
215.00,215.00,4.38,645.00,262.00,41.10,2393.00
215.00,215.00,4.38,645.00,262.00,80.30,3837.00
323.00,323.00,4.38,969.00,262.00,25.40,3367.00
323.00,323.00,4.38,969.00,262.00,41.10,5950.00
323.00,323.00,4.38,969.00,262.00,41.10,4830.00
323.00,323.00,4.38,969.00,262.00,80.30,7481.00
144.00,144.00,6.36,432.00,618.00,25.40,2572.00
144.00,144.00,6.36,432.00,618.00,40.50,2808.00
144.00,144.00,6.36,432.00,618.00,40.50,2765.00
144.00,144.00,6.36,432.00,618.00,77.00,3399.00
211.00,211.00,6.36,633.00,618.00,25.40,3920.00
211.00,211.00,6.36,633.00,618.00,40.50,4428.00
211.00,211.00,6.36,633.00,618.00,40.50,4484.00
211.00,211.00,6.36,633.00,618.00,77.00,5758.00
319.00,319.00,6.36,957.00,618.00,25.40,6320.00
319.00,319.00,6.36,957.00,618.00,41.10,7780.00
318.00,318.00,6.36,954.00,618.00,41.10,7473.00
319.00,319.00,6.36,957.00,618.00,85.10,10357.00
120.00,120.00,6.36,360.00,618.00,25.40,2819.00
120.00,120.00,6.47,360.00,835.00,40.50,2957.00
120.00,120.00,6.47,360.00,835.00,40.50,2961.00
120.00,120.00,6.47,360.00,835.00,77.00,3318.00
175.00,175.00,6.47,525.00,835.00,25.40,4210.00
175.00,175.00,6.47,525.00,835.00,40.50,4493.00
175.00,175.00,6.47,525.00,835.00,40.50,4542.00
175.00,175.00,6.47,525.00,835.00,77.00,5366.00
265.00,265.00,6.47,795.00,835.00,25.40,6546.00
265.00,265.00,6.47,795.00,835.00,41.10,7117.00
265.00,265.00,6.47,795.00,835.00,41.10,7172.00
265.00,265.00,6.47,795.00,835.00,80.30,8990.00
210.00,210.00,5.48,630.00,294.00,39.10,3184.00
211.00,211.00,5.48,633.00,294.00,91.10,4775.00
210.00,210.00,4.50,630.00,277.00,39.10,2714.00
211.00,211.00,4.50,633.00,277.00,91.10,4372.00
211.00,211.00,8.83,633.00,536.00,39.10,5900.00
211.00,211.00,8.83,633.00,536.00,91.10,7010.00
204.00,204.00,5.95,612.00,540.00,39.10,4027.00
204.00,204.00,5.95,612.00,540.00,91.10,5305.00
180.00,180.00,9.45,540.00,825.00,39.10,6805.00
180.00,180.00,9.45,540.00,825.00,91.10,7405.00
180.00,180.00,6.60,540.00,824.00,31.10,5030.00
180.00,180.00,6.60,540.00,824.00,91.10,5875.00
200.00,200.00,6.16,600.00,781.00,119.00,6645.00
200.00,200.00,3.17,600.00,781.00,119.00,4910.00
200.00,200.00,6.39,600.00,310.00,119.00,4965.00
200.00,200.00,3.09,600.00,310.00,119.00,3899.00
305.00,305.00,8.90,1220.00,560.00,110.00,14116.00
305.00,305.00,6.10,1220.00,660.00,110.00,12307.00
305.00,305.00,8.60,1220.00,259.00,110.00,11390.00
305.00,305.00,5.80,1220.00,471.00,110.00,11568.00
152.40,152.40,4.43,300.00,389.00,46.20,1906.00
152.40,152.40,8.95,300.00,432.00,45.40,3307.00
152.00,153.40,6.17,300.00,377.00,43.60,3317.00
152.20,153.00,9.04,300.00,394.00,47.20,4208.00
100.20,100.20,2.18,300.00,300.00,25.70,411.00
200.30,200.30,4.35,601.00,323.00,29.60,1613.00
300.50,300.50,6.10,902.00,395.00,26.50,2766.00
100.00,100.00,2.18,300.00,300.00,53.70,697.00
200.10,200.10,4.35,601.00,323.00,57.90,2563.00
300.60,300.60,6.10,902.00,395.00,58.90,5481.00
101.10,101.10,2.18,300.00,300.00,61.00,783.00
200.20,200.20,4.35,601.00,323.00,63.70,2825.00
100.20,100.20,2.18,300.00,300.00,25.70,609.00
200.30,200.30,4.35,601.00,323.00,29.60,2230.00
300.50,300.50,6.10,902.00,395.00,26.50,5102.00
100.10,100.10,2.18,300.00,300.00,53.70,851.00
200.10,200.10,4.35,601.00,323.00,57.90,3201.00
300.70,300.70,6.10,902.00,395.00,52.20,6494.00
100.10,100.10,2.18,300.00,300.00,61.00,911.00
200.30,200.30,4.35,601.00,323.00,63.70,3417.00
100.70,100.70,9.60,301.00,400.00,24.64,1550.00
101.00,101.00,9.60,300.00,400.00,74.88,2000.00
99.90,99.90,4.90,301.00,289.00,24.64,800.00
99.80,99.80,4.90,300.00,300.00,74.88,900.00
100.10,100.10,4.20,301.00,333.00,27.76,700.00
100.00,100.00,4.20,302.00,333.00,27.76,680.00
100.00,100.00,4.10,299.00,333.00,77.76,1130.00
100.00,100.00,4.10,300.00,333.00,77.76,970.00
100.00,100.00,4.10,301.00,333.00,46.08,880.00
99.90,99.90,4.00,301.00,333.00,46.08,830.00
101.00,101.00,9.60,302.00,400.00,46.08,1800.00
99.80,99.80,4.80,302.00,289.00,25.52,780.00
99.70,99.70,4.70,301.00,289.00,46.56,1000.00
99.70,99.70,4.73,302.00,289.00,79.12,1050.00
99.90,99.90,4.10,301.00,333.00,79.12,1130.00
200.00,200.00,3.00,600.00,303.50,46.80,2458.00
200.00,200.00,3.00,601.00,303.50,46.80,2594.00
200.00,200.00,3.00,602.00,303.50,46.80,2306.00
200.00,200.00,3.00,603.00,303.50,46.80,2284.00
200.00,200.00,3.00,604.00,303.50,46.80,2550.00
200.00,200.00,3.00,605.00,303.50,46.80,2587.00
149.80,149.80,4.27,600.00,412.00,31.90,1598.00
149.80,149.80,4.27,1200.00,412.00,31.90,1586.00
149.80,149.80,4.27,1800.00,412.00,31.90,1573.00
149.80,149.80,4.27,2700.00,412.00,31.90,1356.00
149.80,149.80,4.27,3600.00,412.00,31.90,1143.00
149.80,149.80,4.27,4500.00,412.00,31.90,909.00
120.00,120.00,5.86,2600.00,321.10,20.40,999.60
200.00,200.00,5.86,2600.00,321.10,16.80,2082.50
120.00,120.00,3.84,2600.00,330.10,17.90,754.20
120.00,120.00,3.84,2600.00,330.10,17.90,833.00
120.00,120.00,3.84,2600.00,330.10,29.30,980.00
140.00,140.00,3.84,2600.00,330.10,17.70,1048.60
140.00,140.00,3.84,2600.00,330.10,17.70,1127.00
140.00,140.00,3.84,2600.00,330.10,29.30,1323.00
101.60,101.60,2.13,914.00,336.00,23.80,524.00
101.60,101.60,2.13,914.00,336.00,23.80,488.00
101.60,101.60,3.18,914.00,336.00,29.30,667.00
101.60,101.60,3.18,914.00,336.00,29.30,676.00
127.00,127.00,4.80,914.00,492.00,45.50,1156.00
127.00,127.00,2.13,914.40,484.72,44.82,1601.36
101.60,101.60,2.13,914.40,330.96,23.44,524.00
101.60,101.60,3.18,914.40,330.96,23.44,488.41
101.60,101.60,3.18,914.40,330.96,28.82,667.23
101.60,101.60,3.18,914.40,330.96,28.82,676.13
203.30,204.00,10.01,3050.00,290.00,31.10,2869.00
80.00,120.00,5.00,2760.00,386.30,44.00,600.00
80.00,120.00,5.00,2740.00,357.50,35.70,407.00
180.00,180.00,6.30,1000.00,397.00,92.40,4060.00
180.00,180.00,6.30,4000.00,413.00,92.40,4008.00
260.00,260.00,7.10,1000.00,426.00,92.40,7488.00
260.00,260.00,7.10,4000.00,413.00,92.40,7536.00
120.00,120.00,5.00,500.00,304.00,47.00,1440.00
120.00,120.00,5.00,500.00,438.00,46.00,1690.00
120.00,120.00,5.00,500.00,327.00,96.00,2040.00
120.00,120.00,5.00,500.00,439.00,96.00,2240.00
120.00,120.00,8.00,500.00,323.00,39.00,1550.00
120.00,120.00,8.00,500.00,300.00,46.00,1670.00
120.00,120.00,8.00,500.00,376.00,47.00,1990.00
120.00,120.00,8.00,500.00,323.00,103.00,2270.00
120.00,120.00,8.00,500.00,379.00,103.00,2680.00
120.00,120.00,8.00,500.00,379.00,39.00,1800.00
120.00,120.00,8.00,500.00,364.00,80.00,2300.00
120.00,120.00,8.00,500.00,379.00,80.00,2290.00
120.00,120.00,8.00,500.00,379.00,31.00,1680.00
120.00,120.00,8.00,500.00,379.00,92.00,2430.00
76.60,152.30,3.00,635.00,430.00,30.50,819.00
76.50,152.80,4.47,635.00,383.00,26.00,1006.00
101.80,152.40,4.32,635.00,413.00,26.00,1144.00
102.80,152.70,4.57,635.00,365.00,23.80,1224.00
101.30,151.40,5.72,635.00,324.00,23.80,1335.00
102.10,151.40,7.34,635.00,358.00,23.80,1691.00
127.30,127.30,3.15,635.00,356.00,30.50,917.00
126.90,126.90,4.34,635.00,357.00,26.00,1095.00
126.90,127.00,4.55,635.00,322.00,23.80,1113.00
125.30,126.50,5.67,635.00,312.00,23.80,1202.00
126.80,127.20,7.47,635.00,347.00,23.80,2069.00
125.00,125.00,3.20,500.00,443.00,94.00,1598.00
125.00,125.00,3.20,1000.00,443.00,94.00,1586.00
125.00,125.00,3.20,1500.00,443.00,94.00,1574.00
125.00,125.00,3.20,2250.00,443.00,94.00,1357.00
125.00,125.00,3.20,3000.00,443.00,94.00,1144.00
125.00,125.00,3.20,3750.00,443.00,94.00,909.00
85.00,130.00,2.86,390.00,228.00,47.44,760.00
85.00,130.00,2.86,390.00,228.00,47.44,820.00
80.00,140.00,2.86,420.00,228.00,47.44,880.00
80.00,140.00,2.86,420.00,228.00,47.44,740.00
100.00,200.00,5.00,2000.00,360.00,33.40,1242.00
100.00,200.00,5.00,2000.00,360.00,33.40,1242.00
100.00,200.00,5.00,2000.00,360.00,10.00,1062.00
100.00,200.00,5.00,2000.00,360.00,10.00,1022.00
140.00,140.00,4.00,2100.00,366.00,33.40,1011.00
140.00,140.00,4.00,2101.00,366.00,10.00,716.00
140.00,140.00,5.00,2100.00,362.00,33.40,1248.00
140.00,140.00,5.00,2100.00,362.00,10.00,1005.00
90.00,150.00,3.00,2250.00,320.00,33.40,691.00
90.00,150.00,3.00,2251.00,320.00,33.40,638.00
90.00,150.00,3.00,2252.00,320.00,10.00,503.00
90.00,150.00,3.00,2253.00,320.00,10.00,491.00
90.00,150.00,3.00,2254.00,320.00,10.00,515.00
90.00,150.00,3.00,2255.00,320.00,10.00,492.00
90.00,150.00,3.00,2256.00,320.00,33.40,738.00
90.00,150.00,3.00,2257.00,320.00,33.40,625.00
100.00,100.00,2.00,2500.00,240.00,33.50,350.00
100.00,100.00,2.00,2501.00,240.00,33.50,360.00
100.00,100.00,2.00,2502.00,240.00,33.50,396.00
100.00,100.00,2.00,2503.00,240.00,33.50,342.00
100.00,100.00,2.00,2504.00,240.00,10.00,261.00
100.00,100.00,2.00,2505.00,240.00,10.00,240.00
100.00,100.00,2.00,2506.00,240.00,10.00,265.00
100.00,100.00,2.00,2507.00,240.00,10.00,243.00
200.00,200.00,3.00,2310.00,303.50,46.80,1986.00
200.00,200.00,3.00,2311.00,303.50,46.80,2045.00
200.00,200.00,3.00,2312.00,303.50,46.80,2280.00
200.00,200.00,3.00,2313.00,303.50,46.80,2173.00
200.00,200.00,3.00,2314.00,303.50,46.80,2258.00
150.20,150.20,2.91,1110.00,319.30,68.50,2352.00
149.50,149.50,2.89,2200.00,319.30,68.50,2077.00
148.60,148.60,2.93,3101.00,319.30,68.50,1558.00
151.40,151.40,4.77,1085.00,316.60,68.50,2597.00
150.00,150.00,4.90,2201.00,316.60,68.50,2381.00
150.70,150.70,4.89,3100.00,316.60,68.50,1627.00
134.90,175.70,2.91,993.00,319.30,68.50,2401.00
136.30,176.50,2.91,1980.00,319.30,68.50,2283.00
124.60,199.30,2.92,921.00,319.30,68.50,2636.00
125.90,199.90,2.90,1829.00,319.30,68.50,2303.00
150.10,150.10,2.02,1050.00,217.48,25.90,800.00
147.80,147.80,2.02,1050.00,217.48,25.90,650.00
149.50,149.50,4.31,1050.00,245.54,40.70,1405.00
149.10,149.10,4.31,1050.00,245.54,40.70,1435.00
151.00,151.00,6.92,1050.00,292.31,25.90,1640.00
151.60,151.60,6.92,1050.00,292.31,25.90,1735.00
151.00,151.00,2.02,1550.00,217.48,34.60,800.00
150.20,150.20,2.02,1550.00,217.48,34.60,850.00
151.00,151.00,4.31,1550.00,245.54,35.40,1250.00
149.80,149.80,4.31,1550.00,245.54,39.00,1350.00
150.00,150.00,6.92,1550.00,292.31,25.90,1700.00
149.70,149.70,6.92,1550.00,292.31,25.90,1700.00
148.70,148.70,4.31,2050.00,245.54,25.40,1080.00
147.20,147.20,4.31,2050.00,245.54,35.40,1150.00
149.30,149.30,2.02,2550.00,217.48,25.90,680.00
148.20,148.20,2.02,2550.00,217.48,25.90,600.00
148.70,148.70,4.31,2550.00,245.54,39.00,1200.00
147.70,147.70,4.31,2550.00,245.54,39.00,1175.00
148.00,148.00,6.92,2550.00,292.31,35.40,1600.00
148.00,148.00,6.92,2550.00,292.31,35.40,1740.00
150.00,150.00,4.31,3050.00,245.54,36.50,1300.00
150.50,150.50,4.31,3198.00,245.54,35.40,1125.00
150.70,150.70,2.02,3586.00,217.48,40.60,850.00
148.80,148.80,2.02,3585.00,217.48,40.60,860.00
150.00,150.00,4.31,3596.00,245.54,39.00,1050.00
148.20,148.20,4.31,3600.00,245.54,39.00,1075.00
149.20,149.20,6.92,3583.00,292.31,35.40,1350.00
150.70,150.70,6.92,3590.00,292.31,34.60,1400.00
148.20,148.20,4.31,4098.00,245.54,36.50,955.00
149.70,149.70,4.31,4096.00,245.54,36.50,950.00
100.00,180.00,5.80,540.00,300.00,74.70,2059.00
100.00,180.00,5.80,540.00,300.00,74.70,2019.00
100.00,180.00,5.80,540.00,300.00,92.00,2287.00
100.00,180.00,5.80,540.00,300.00,92.00,2291.00
100.00,180.00,5.80,450.00,300.00,56.00,1815.00
100.00,180.00,5.80,450.00,300.00,56.00,1763.00
100.00,180.00,5.80,540.00,300.00,56.00,1725.00
100.00,180.00,5.80,540.00,300.00,56.00,1742.00
100.00,180.00,5.80,480.00,300.00,56.00,1947.00
100.00,180.00,5.80,480.00,300.00,56.00,1912.00
100.00,180.00,5.80,570.00,300.00,56.00,2035.00
100.00,180.00,5.80,570.00,300.00,56.00,2138.00
80.10,120.70,4.18,360.00,550.00,56.60,1450.00
80.60,119.30,4.18,360.00,550.00,56.60,1425.00
80.60,119.60,4.18,360.00,550.00,65.70,1560.00
80.60,120.50,4.18,360.00,550.00,65.70,1700.00
121.50,179.70,4.18,540.00,550.00,56.60,2530.00
